model,delta_mae,vega_mae,delta_in_01
RandomForest,0.017171546340086673,4.392674957405681,1.0
GradBoost,0.02139172042575852,3.4627708599020366,1.0
Linear,0.0224797916029862,4.373486571268412,0.9746835443037974
SVR_RBF,0.024296134869204917,10.226141030781438,1.0
MLP,0.12327622045444432,244.08514791730713,0.8227848101265823
