beta,cva,epe_0.5y,epe_1y,epe_2y,epe_3y,epe_4y,epe_5y
0,1312.45468831,23639.6887429,31948.8286961,29756.1941488,26505.1905607,21999.7722974,16102.4354383
5,1381.30990401,24192.5204009,32961.0923166,31207.3938143,28058.823191,23513.6899109,17332.3791973
10,1457.55852889,24780.669075,34057.6679511,32807.5816476,29782.1577026,25205.1917213,18712.5152777
15,1542.12555185,25406.2077525,35245.116912,34573.3066373,31696.4290067,27099.1145642,20265.0871656
20,1636.07844166,26071.3763752,36530.6825267,36523.3964855,33826.0340145,29224.3880613,22016.2024417
25,1740.65199341,26778.5960493,37922.3646962,38679.3093055,36199.0521442,31614.7871859,23996.5875907
30,1857.27799608,27530.4846572,39429.0037829,41065.5467273,38847.8592615,34309.8355086,26242.5043955
