scenario,expiry,tenor,moneyness_basis_points,strike,a,b,sigma,eta,rho,price
high_volatility,2,2,100,0.0353151205244,0.1,0.3,0.02,0.03,-0.7,0.00676176878452
high_volatility,2,5,-100,0.0153151205244,0.1,0.3,0.02,0.03,-0.7,0.0544600378438
high_volatility,2,5,0,0.0253151205244,0.1,0.3,0.02,0.03,-0.7,0.0270405442994
high_volatility,2,5,100,0.0353151205244,0.1,0.3,0.02,0.03,-0.7,0.0106540374369
high_volatility,2,10,-100,0.0153151205244,0.1,0.3,0.02,0.03,-0.7,0.0944597166385
high_volatility,2,10,0,0.0253151205244,0.1,0.3,0.02,0.03,-0.7,0.0405339809327
high_volatility,2,10,100,0.0353151205244,0.1,0.3,0.02,0.03,-0.7,0.0121791116951
high_volatility,5,2,-100,0.0153151205244,0.1,0.3,0.02,0.03,-0.7,0.0268442091801
high_volatility,5,2,0,0.0253151205244,0.1,0.3,0.02,0.03,-0.7,0.0171934024774
high_volatility,5,2,100,0.0353151205244,0.1,0.3,0.02,0.03,-0.7,0.0100525404116
high_volatility,5,5,-100,0.0153151205244,0.1,0.3,0.02,0.03,-0.7,0.0591097217645
high_volatility,5,5,0,0.0253151205244,0.1,0.3,0.02,0.03,-0.7,0.0350100679729
high_volatility,5,5,100,0.0353151205244,0.1,0.3,0.02,0.03,-0.7,0.0177718635106
high_volatility,5,10,-100,0.0153151205244,0.1,0.3,0.02,0.03,-0.7,0.100666153074
high_volatility,5,10,0,0.0253151205244,0.1,0.3,0.02,0.03,-0.7,0.0540068377236
high_volatility,5,10,100,0.0353151205244,0.1,0.3,0.02,0.03,-0.7,0.0244392347161
fast_mean_reversion,1,2,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0188581899219
fast_mean_reversion,1,2,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00370626857789
fast_mean_reversion,1,2,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,7.56784383927e-05
fast_mean_reversion,1,5,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0452769466131
fast_mean_reversion,1,5,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00613809644937
fast_mean_reversion,1,5,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,8.25355315076e-06
fast_mean_reversion,1,10,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0852209293425
fast_mean_reversion,1,10,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00752017203362
fast_mean_reversion,1,10,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,2.13478967795e-08
fast_mean_reversion,2,2,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0185466100664
fast_mean_reversion,2,2,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00455857224605
fast_mean_reversion,2,2,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,0.000227688205057
fast_mean_reversion,2,5,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0442187985923
fast_mean_reversion,2,5,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00768440826009
fast_mean_reversion,2,5,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,7.68918111123e-05
fast_mean_reversion,2,10,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0831177012877
fast_mean_reversion,2,10,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00945287130793
fast_mean_reversion,2,10,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,1.95074668067e-06
fast_mean_reversion,5,2,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.017551118373
fast_mean_reversion,5,2,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00514920858796
fast_mean_reversion,5,2,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,0.00057905997262
fast_mean_reversion,5,5,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0412151496798
fast_mean_reversion,5,5,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.00874099805651
fast_mean_reversion,5,5,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,0.000276506210878
fast_mean_reversion,5,10,-100,0.0153151205244,0.3,0.8,0.01,0.015,-0.7,0.0771244386061
fast_mean_reversion,5,10,0,0.0253151205244,0.3,0.8,0.01,0.015,-0.7,0.0107083520685
fast_mean_reversion,5,10,100,0.0353151205244,0.3,0.8,0.01,0.015,-0.7,2.0734678489e-05
weak_correlation,1,2,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0216817376243
weak_correlation,1,2,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.00951428927564
weak_correlation,1,2,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00298122400786
weak_correlation,1,5,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.048889060069
weak_correlation,1,5,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0177156164758
weak_correlation,1,5,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00370971810328
weak_correlation,1,10,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0875324282755
weak_correlation,1,10,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0248547048463
weak_correlation,1,10,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00262107886125
weak_correlation,2,2,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0232793040214
weak_correlation,2,2,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0119628536902
weak_correlation,2,2,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00502914471356
weak_correlation,2,5,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0510737141392
weak_correlation,2,5,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0225815186334
weak_correlation,2,5,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00739415987357
weak_correlation,2,10,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0891035509289
weak_correlation,2,10,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0319866188922
weak_correlation,2,10,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00654418558314
weak_correlation,5,2,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0242486205494
weak_correlation,5,2,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0142233204385
weak_correlation,5,2,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.00737003663658
weak_correlation,5,5,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0525343643203
weak_correlation,5,5,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.0274937290906
weak_correlation,5,5,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.0119493204986
weak_correlation,5,10,-100,0.0153151205244,0.1,0.3,0.01,0.015,-0.1,0.0889193508783
weak_correlation,5,10,0,0.0253151205244,0.1,0.3,0.01,0.015,-0.1,0.039553413146
weak_correlation,5,10,100,0.0353151205244,0.1,0.3,0.01,0.015,-0.1,0.0128842838793
