scenario,expiry,tenor,moneyness_basis_points,strike,qf_rates,quantlib,absolute_difference,difference_basis_points_notional,relative_difference
low_volatility,1.0,2.0,-100.0,0.01531512052442881,0.018796727705204307,0.018796802084571178,7.437936687046398e-08,0.0007437936687046398,3.95702239858748e-06
low_volatility,1.0,2.0,0.0,0.02531512052442881,0.002765206755971353,0.0027796594944105605,1.4452738439207653e-05,0.14452738439207652,0.005199463627926277
low_volatility,1.0,2.0,100.0,0.03531512052442881,7.676481337968324e-06,7.872728551284888e-06,1.9624721331656414e-07,0.0019624721331656415,0.02492747108428311
low_volatility,1.0,5.0,-100.0,0.015315120524428837,0.04527093341050037,0.04527089233771804,4.107278232801104e-08,0.00041072782328011037,9.07266903899544e-07
low_volatility,1.0,5.0,0.0,0.025315120524428837,0.005216643315382943,0.005194377628844685,2.2265686538258146e-05,0.22265686538258145,0.004286497464992818
low_volatility,1.0,5.0,100.0,0.03531512052442884,1.0089954616967762e-06,9.385086597178972e-07,7.0486801978879e-08,0.0007048680197887901,0.07510511623842274
low_volatility,1.0,10.0,-100.0,0.015315120524428854,0.08522093505883001,0.08522093434360768,7.152223258088952e-10,7.152223258088952e-06,8.39256611439092e-09
low_volatility,1.0,10.0,0.0,0.025315120524428854,0.007676490499447916,0.007655525854944102,2.0964644503814085e-05,0.20964644503814084,0.0027384982953554612
low_volatility,1.0,10.0,100.0,0.03531512052442885,2.2306570318443285e-08,2.3532928074325695e-08,1.2263577558824101e-09,1.2263577558824101e-05,0.05211241678082381
low_volatility,2.0,2.0,-100.0,0.015315120524428924,0.01838191466337714,0.01838130436635413,6.102970230119353e-07,0.006102970230119353,3.320205197891436e-05
low_volatility,2.0,2.0,0.0,0.025315120524428924,0.0034854386790371256,0.003491597690192906,6.159011155780231e-06,0.061590111557802314,0.0017639521222847282
low_volatility,2.0,2.0,100.0,0.03531512052442892,5.937864282309806e-05,5.9703749054583565e-05,3.251062314855031e-07,0.003251062314855031,0.005445323562315625
low_volatility,2.0,5.0,-100.0,0.015315120524428882,0.044175026308785184,0.04417374173356866,1.2845752165244195e-06,0.012845752165244195,2.9080063542551134e-05
low_volatility,2.0,5.0,0.0,0.025315120524428882,0.006764614237049299,0.006715779357485787,4.883487956351164e-05,0.48834879563511635,0.0072716622991905655
low_volatility,2.0,5.0,100.0,0.03531512052442888,2.6114979979999653e-05,2.4592057065286806e-05,1.522922914712847e-06,0.01522922914712847,0.06192743090461293
