ts_utc,fair_value,realised,prompt_proxy,gap,gap_z,view,captured,is_evaluable
2025-07-18 00:00:00+02:00,96.28405807666503,100.93374999999999,87.3269642857143,8.957093790950736,0.7032487488151724,NEUTRAL,-0.0,True
2025-07-19 00:00:00+02:00,61.18129329095368,70.14208333333333,89.19136904761906,-28.01007575666538,-1.388304807632345,SHORT prompt,3.6969047619047615,True
2025-07-20 00:00:00+02:00,63.0674976215627,71.48083333333334,88.88934523809523,-25.82184761653253,-1.212431381216118,SHORT prompt,0.3924999999999841,True
2025-07-21 00:00:00+02:00,106.68622639905341,100.23,88.60220238095238,18.084024018101033,1.2394466201555683,LONG prompt,1.0304761904761932,True
2025-07-22 00:00:00+02:00,76.75856793678157,78.38083333333334,88.85339285714285,-12.094824920361276,-0.45642816406708586,NEUTRAL,-0.0,True
2025-07-23 00:00:00+02:00,63.776948070697706,78.25083333333333,87.07571428571428,-23.298766215016578,-1.062804078177784,SHORT prompt,-1.4737499999999955,True
2025-07-24 00:00:00+02:00,105.21205682259581,102.54833333333333,84.57577380952382,20.63628301307199,1.3819502583196206,LONG prompt,3.6453571428571223,True
2025-07-25 00:00:00+02:00,97.34960322156871,97.42833333333334,85.9952380952381,11.35436512633062,0.8403463919808924,LONG prompt,-0.20642857142857451,True
2025-07-26 00:00:00+02:00,85.09288411465126,91.15875,85.49446428571427,-0.40158017106301713,0.17474788420798065,NEUTRAL,-0.0,True
2025-07-27 00:00:00+02:00,81.66525696884102,79.43166666666666,88.49684523809525,-6.831588269254226,-0.19034990070011834,NEUTRAL,-0.0,True
2025-07-28 00:00:00+02:00,95.79156803129105,94.07583333333334,89.63267857142857,6.158889459862479,0.5528161361969607,NEUTRAL,-0.0,True
2025-07-29 00:00:00+02:00,79.26384092812313,76.9525,88.75351190476191,-9.489670976638777,-0.3566448175217972,NEUTRAL,-0.0,True
2025-07-30 00:00:00+02:00,86.99014867178498,75.9525,88.5494642857143,-1.5593156139293143,0.11055139865531403,NEUTRAL,-0.0,True
2025-07-31 00:00:00+02:00,80.24455052900983,85.52208333333334,88.22113095238096,-7.976580423371132,-0.2698684860358977,NEUTRAL,-0.0,True
