ts_utc,y_true,lgbm,estimated_bias,bias_corrected
2025-07-11 22:00:00+00:00,112.23,96.5768794423929,-8.499750074639067,105.07662951703196
2025-07-11 23:00:00+00:00,104.57,91.843707831951,-8.499750074639067,100.34345790659006
2025-07-12 00:00:00+00:00,103.68,90.6168809328402,-8.499750074639067,99.11663100747927
2025-07-12 01:00:00+00:00,97.4,83.44782725356076,-8.499750074639067,91.94757732819983
2025-07-12 02:00:00+00:00,93.33,81.10704192798906,-8.499750074639067,89.60679200262813
2025-07-12 03:00:00+00:00,89.94,82.50772201602041,-8.499750074639067,91.00747209065948
2025-07-12 04:00:00+00:00,85.27,90.93738785840796,-8.499750074639067,99.43713793304703
2025-07-12 05:00:00+00:00,87.98,81.19129266475953,-8.499750074639067,89.6910427393986
2025-07-12 06:00:00+00:00,83.8,64.1791297253485,-8.499750074639067,72.67887979998757
2025-07-12 07:00:00+00:00,59.86,41.416851860893296,-8.499750074639067,49.91660193553236
2025-07-12 08:00:00+00:00,18.19,11.52263193780061,-8.499750074639067,20.022382012439678
2025-07-12 09:00:00+00:00,3.0,12.220477809077575,-8.499750074639067,20.720227883716642
2025-07-12 10:00:00+00:00,0.22,18.64245535743537,-8.499750074639067,27.142205432074437
2025-07-12 11:00:00+00:00,0.0,15.160133949753916,-8.499750074639067,23.659884024392984
2025-07-12 12:00:00+00:00,0.0,9.07827173558042,-8.499750074639067,17.57802181021949
2025-07-12 13:00:00+00:00,0.22,11.479689211881324,-8.499750074639067,19.97943928652039
2025-07-12 14:00:00+00:00,19.73,25.720988853593436,-8.499750074639067,34.22073892823251
2025-07-12 15:00:00+00:00,73.89,58.18758122523459,-8.499750074639067,66.68733129987365
2025-07-12 16:00:00+00:00,106.2,83.7902017310391,-8.499750074639067,92.28995180567817
2025-07-12 17:00:00+00:00,109.2,107.73883942486778,-8.499750074639067,116.23858949950684
2025-07-12 18:00:00+00:00,120.0,116.83527114124152,-8.499750074639067,125.33502121588059
2025-07-12 19:00:00+00:00,125.02,118.26580110548706,-8.499750074639067,126.76555118012612
2025-07-12 20:00:00+00:00,125.0,110.72253552280668,-8.499750074639067,119.22228559744575
2025-07-12 21:00:00+00:00,115.42,106.62329989771568,-8.499750074639067,115.12304997235475
2025-07-12 22:00:00+00:00,115.35,112.12441721804444,-8.39268434586351,120.51710156390796
2025-07-12 23:00:00+00:00,109.14,106.31921209052084,-8.39268434586351,114.71189643638435
2025-07-13 00:00:00+00:00,108.42,105.307276008727,-8.39268434586351,113.69996035459052
2025-07-13 01:00:00+00:00,107.35,101.28005510302197,-8.39268434586351,109.67273944888548
2025-07-13 02:00:00+00:00,104.64,100.43258218569297,-8.39268434586351,108.82526653155648
2025-07-13 03:00:00+00:00,100.85,98.85698965417176,-8.39268434586351,107.24967400003527
2025-07-13 04:00:00+00:00,95.8,101.03132889762844,-8.39268434586351,109.42401324349196
2025-07-13 05:00:00+00:00,92.18,97.79965673683375,-8.39268434586351,106.19234108269727
2025-07-13 06:00:00+00:00,87.94,92.13474675376122,-8.39268434586351,100.52743109962474
2025-07-13 07:00:00+00:00,57.62,68.32265253835834,-8.39268434586351,76.71533688422186
2025-07-13 08:00:00+00:00,4.28,22.070694564234714,-8.39268434586351,30.46337891009822
2025-07-13 09:00:00+00:00,0.05,12.779164095115782,-8.39268434586351,21.17184844097929
2025-07-13 10:00:00+00:00,0.0,9.766123543450846,-8.39268434586351,18.158807889314353
2025-07-13 11:00:00+00:00,0.0,2.2901571866774364,-8.39268434586351,10.682841532540946
2025-07-13 12:00:00+00:00,0.0,-1.580763319146098,-8.39268434586351,6.811921026717411
2025-07-13 13:00:00+00:00,0.0,-4.512845582003286,-8.39268434586351,3.8798387638602234
2025-07-13 14:00:00+00:00,2.36,11.707538743988936,-8.39268434586351,20.100223089852445
