specification,features,mae,mae_ci_low,mae_ci_high,rmse,bias,mae_change_vs_primary_pct
weather_augmented,22,13.485201110800476,12.330554016924104,14.708131286253298,21.854653346877207,-3.5900312741314253,-0.8075745983785021
primary,17,13.594990803178842,12.391456626403412,14.856874154027691,22.218753183890566,-3.716070869957746,0.0
fundamentals_calendar,11,17.802422024023752,16.309182189870665,19.289978851393045,26.319599804792954,-6.3423779681030075,30.94839328512904
no_renewables,13,25.142889855344293,22.865390022092182,27.480810469177374,37.13854407219743,-0.8384557180007339,84.94230867346575
calendar_only,7,28.891177223038802,26.773091615901762,31.024265051578737,40.68828574005892,0.2960255491865732,112.51340027595558
