ts_utc,y_true,lgbm,delivery_day,calibration_n,radius,lower,upper,covered,lower_pinball,upper_pinball,interval_score,hour
2025-07-11 22:00:00+00:00,112.23,96.5768794423929,2025-07-12 00:00:00+02:00,720,34.36609970179241,62.210779740600486,130.9429791441853,True,2.500961012969976,0.9356489572092649,68.73219940358481,0
2025-07-11 23:00:00+00:00,104.57,91.843707831951,2025-07-12 00:00:00+02:00,720,34.36609970179241,57.477608130158586,126.2098075337434,True,2.3546195934920706,1.0819903766871704,68.73219940358481,1
2025-07-12 00:00:00+00:00,103.68,90.6168809328402,2025-07-12 00:00:00+02:00,720,34.36609970179241,56.250781231047796,124.98298063463261,True,2.3714609384476106,1.0651490317316303,68.73219940358481,2
2025-07-12 01:00:00+00:00,97.4,83.44782725356076,2025-07-12 00:00:00+02:00,720,34.36609970179241,49.08172755176835,117.81392695535317,True,2.415913622411583,1.020696347767658,68.73219940358481,3
2025-07-12 02:00:00+00:00,93.33,81.10704192798906,2025-07-12 00:00:00+02:00,720,34.36609970179241,46.74094222619665,115.47314162978147,True,2.3294528886901675,1.1071570814890734,68.73219940358481,4
2025-07-12 03:00:00+00:00,89.94,82.50772201602041,2025-07-12 00:00:00+02:00,720,34.36609970179241,48.141622314228,116.87382171781282,True,2.0899188842886,1.3466910858906411,68.73219940358481,5
2025-07-12 04:00:00+00:00,85.27,90.93738785840796,2025-07-12 00:00:00+02:00,720,34.36609970179241,56.57128815661555,125.30348756020037,True,1.4349355921692224,2.001674378010019,68.73219940358481,6
2025-07-12 05:00:00+00:00,87.98,81.19129266475953,2025-07-12 00:00:00+02:00,720,34.36609970179241,46.82519296296712,115.55739236655194,True,2.057740351851644,1.3788696183275968,68.73219940358481,7
2025-07-12 06:00:00+00:00,83.8,64.1791297253485,2025-07-12 00:00:00+02:00,720,34.36609970179241,29.813030023556095,98.54522942714091,True,2.699348498822195,0.7372614713570457,68.73219940358481,8
2025-07-12 07:00:00+00:00,59.86,41.416851860893296,2025-07-12 00:00:00+02:00,720,34.36609970179241,7.050752159100888,75.7829515626857,True,2.640462392044956,0.7961475781342848,68.73219940358481,9
2025-07-12 08:00:00+00:00,18.19,11.52263193780061,2025-07-12 00:00:00+02:00,720,34.36609970179241,-22.843467763991796,45.88873163959302,True,2.05167338819959,1.3849365819796509,68.73219940358481,10
2025-07-12 09:00:00+00:00,3.0,12.220477809077575,2025-07-12 00:00:00+02:00,720,34.36609970179241,-22.145621892714832,46.586577510869986,True,1.2572810946357418,2.1793288755434994,68.73219940358481,11
2025-07-12 10:00:00+00:00,0.22,18.64245535743537,2025-07-12 00:00:00+02:00,720,34.36609970179241,-15.723644344357037,53.008555059227774,True,0.797182217217852,2.6394277529613888,68.73219940358481,12
2025-07-12 11:00:00+00:00,0.0,15.160133949753916,2025-07-12 00:00:00+02:00,720,34.36609970179241,-19.20596575203849,49.52623365154632,True,0.9602982876019246,2.4763116825773164,68.73219940358481,13
2025-07-12 12:00:00+00:00,0.0,9.07827173558042,2025-07-12 00:00:00+02:00,720,34.36609970179241,-25.287827966211985,43.44437143737283,True,1.2643913983105994,2.1722185718686418,68.73219940358481,14
2025-07-12 13:00:00+00:00,0.22,11.479689211881324,2025-07-12 00:00:00+02:00,720,34.36609970179241,-22.886410489911086,45.84578891367373,True,1.1553205244955542,2.2812894456836865,68.73219940358481,15
2025-07-12 14:00:00+00:00,19.73,25.720988853593436,2025-07-12 00:00:00+02:00,720,34.36609970179241,-8.645110848198971,60.08708855538585,True,1.4187555424099487,2.0178544277692922,68.73219940358481,16
2025-07-12 15:00:00+00:00,73.89,58.18758122523459,2025-07-12 00:00:00+02:00,720,34.36609970179241,23.82148152344218,92.55368092702699,True,2.503425923827891,0.9331840463513494,68.73219940358481,17
2025-07-12 16:00:00+00:00,106.2,83.7902017310391,2025-07-12 00:00:00+02:00,720,34.36609970179241,49.4241020292467,118.15630143283151,True,2.8387948985376656,0.5978150716415754,68.73219940358481,18
2025-07-12 17:00:00+00:00,109.2,107.73883942486778,2025-07-12 00:00:00+02:00,720,34.36609970179241,73.37273972307537,142.10493912666018,True,1.7913630138462318,1.6452469563330092,68.73219940358481,19
2025-07-12 18:00:00+00:00,120.0,116.83527114124152,2025-07-12 00:00:00+02:00,720,34.36609970179241,82.46917143944911,151.20137084303394,True,1.8765414280275445,1.560068542151697,68.73219940358483,20
2025-07-12 19:00:00+00:00,125.02,118.26580110548706,2025-07-12 00:00:00+02:00,720,34.36609970179241,83.89970140369465,152.63190080727946,True,2.0560149298152672,1.3805950403639735,68.73219940358481,21
2025-07-12 20:00:00+00:00,125.0,110.72253552280668,2025-07-12 00:00:00+02:00,720,34.36609970179241,76.35643582101427,145.0886352245991,True,2.4321782089492867,1.0044317612299551,68.73219940358483,22
2025-07-12 21:00:00+00:00,115.42,106.62329989771568,2025-07-12 00:00:00+02:00,720,34.36609970179241,72.25720019592328,140.9893995995081,True,2.1581399902038365,1.2784699799754045,68.73219940358481,23
2025-07-12 22:00:00+00:00,115.35,112.12441721804444,2025-07-13 00:00:00+02:00,744,33.941911900703474,78.18250531734097,146.06632911874792,True,1.8583747341329513,1.5358164559373961,67.88382380140695,0
2025-07-12 23:00:00+00:00,109.14,106.31921209052084,2025-07-13 00:00:00+02:00,744,33.941911900703474,72.37730018981736,140.2611239912243,True,1.838134990509132,1.5560561995612154,67.88382380140695,1
2025-07-13 00:00:00+00:00,108.42,105.307276008727,2025-07-13 00:00:00+02:00,744,33.941911900703474,71.36536410802353,139.24918790943047,True,1.8527317945988238,1.5414593954715237,67.88382380140695,2
2025-07-13 01:00:00+00:00,107.35,101.28005510302197,2025-07-13 00:00:00+02:00,744,33.941911900703474,67.33814320231849,135.22196700372544,True,2.0005928398840753,1.3935983501862723,67.88382380140695,3
