model,observations,delivery_days,mae,mae_ci_low,mae_ci_high,rmse,bias,median_ae,q95_ae,mae_after_first_90_days,post_warmup_delivery_days
naive_w,8760,365,32.89149628995434,29.228314285810008,36.73989434662249,51.21365219012796,-0.8683998287671233,19.273749999999993,102.48462499999992,36.32714962121212,275
ridge,8760,365,17.11167614945395,16.03701668428141,18.2588869979909,25.408719930554074,-3.2278244869498884,13.242875791638951,42.18247810575978,17.35836699789584,275
ridge_hourly,8760,365,15.729145244489446,14.777190667390784,16.75397827912638,23.478472774757655,-3.321149430064299,12.217616191312874,39.18920778997072,16.08146760842022,275
lgbm,8760,365,13.594990803178842,12.391456626403412,14.856874154027691,22.218753183890566,-3.716070869957746,9.091357704581917,38.610303043389266,14.112579992292806,275
