delivery_day,naive_w_ae,naive_w_se,ridge_ae,ridge_se,ridge_hourly_ae,ridge_hourly_se,lgbm_ae,lgbm_se
2025-06-12 00:00:00+02:00,23.011666666666667,1018.145425,12.563377545080021,243.25586429378725,13.850197107116939,285.8001152658214,6.455249953509106,76.80917432394072
2025-06-13 00:00:00+02:00,13.848333333333334,364.13161666666673,26.963536652711863,888.1840220598903,24.222118468557525,754.3012276326876,23.22918662714579,1173.6970327398149
2025-06-14 00:00:00+02:00,25.956666666666663,1022.0542999999999,19.63135526673436,525.034810058268,18.348062114630523,406.65411302704143,16.89931139687305,428.9050024963486
2025-06-15 00:00:00+02:00,39.36666666666667,2205.0498666666667,17.567838471292486,487.5870576445682,10.890703084757172,258.1333001926866,9.433930391576844,193.66032001165732
2025-06-16 00:00:00+02:00,47.934583333333336,3466.9341958333334,20.701683398448907,761.8041319936692,14.485423551952765,340.17229322117925,15.150262769228297,346.8730268845695
2025-06-17 00:00:00+02:00,32.63,2626.1399083333336,16.204472453330183,578.5963923286148,11.70095855627669,338.89823296689934,13.533880077988641,490.5109332324769
2025-06-18 00:00:00+02:00,16.385,563.2524166666666,14.537984979973828,286.6003624651931,13.760776142209268,284.2344354902286,16.598220052574707,586.5219032393326
2025-06-19 00:00:00+02:00,18.14625,472.57705416666676,12.737807910260068,243.83232290585238,14.913727290345227,369.2674817617783,15.78530929822827,411.51856667464835
2025-06-20 00:00:00+02:00,34.96,1720.7432583333332,23.178243388913387,897.3928602847812,17.453124496187232,537.8848695394541,22.9693929782491,941.1789179586032
2025-06-21 00:00:00+02:00,28.28375,1233.9501291666668,14.539817440091745,270.7195213738846,15.429363096699497,302.50307139235855,18.30963976550634,567.5332566643663
2025-06-22 00:00:00+02:00,24.50208333333333,1293.8468458333334,20.4225924770475,517.4897908931215,12.478420284438954,222.07644073602168,13.996311154566442,297.48710068782697
2025-06-23 00:00:00+02:00,42.35916666666667,2687.179775,20.7873228118499,644.776402119906,14.396134785938225,377.82782089661947,15.371768447548869,348.5059054241947
2025-06-24 00:00:00+02:00,37.42583333333334,2309.6161333333334,14.260164157350005,260.454356644637,12.955313399905313,200.842580625296,8.889405307917302,147.72403618365308
2025-06-25 00:00:00+02:00,19.087500000000002,714.2498750000001,25.380795257969137,960.9518187422696,23.753834229011773,742.088592772663,16.399893651414626,504.30644923098413
2025-06-26 00:00:00+02:00,47.359583333333326,4057.4100624999996,18.166718150826853,479.22553936592817,15.356449399130033,362.11193230870595,11.100890743622221,265.7227555317755
2025-06-27 00:00:00+02:00,25.677083333333332,1060.2919791666666,20.83754847675497,586.6639172305786,20.592011908738,513.097060807861,17.66862363945474,397.80051232741727
2025-06-28 00:00:00+02:00,25.892083333333336,892.4857041666669,13.01713539458867,249.28964575351904,14.64593016833885,312.08629468170926,6.617676422458364,54.9566382067322
2025-06-29 00:00:00+02:00,20.441666666666666,894.2013666666667,18.763023437379516,415.3787805318721,20.042549786830666,552.5008750742563,13.63573072286558,235.67414941885022
2025-06-30 00:00:00+02:00,63.68625,6615.157512500001,37.09494516208865,2289.479168559896,26.976397760503477,1266.340989825955,27.18195025220699,1598.9791665851224
2025-07-01 00:00:00+02:00,91.14541666666666,14925.67594583333,50.195689883465604,6557.173048195749,50.20770054452493,6635.2391875312705,50.23355189674154,6299.63685554903
2025-07-02 00:00:00+02:00,34.21791666666667,1645.1259625,20.963025018963446,735.5941305286219,21.934188587448446,724.6837953171695,23.215787100267374,1016.2159619715268
2025-07-03 00:00:00+02:00,20.637083333333333,622.9757958333333,16.953471479099573,387.38382482346816,15.020090156938702,362.7016528769205,19.087738518904697,599.2091357645555
2025-07-04 00:00:00+02:00,16.84125,519.1909291666667,10.029266326113627,158.79597388442838,12.274054080135237,251.8672486800751,7.542647028742661,104.1507964596236
2025-07-05 00:00:00+02:00,6.796250000000001,96.21382916666668,18.665224233948596,385.2381927679487,15.313367617254768,323.8784086927524,11.118742663280054,173.7590763742869
2025-07-06 00:00:00+02:00,21.082083333333333,1074.9393458333332,17.954077051730163,451.6409309106109,11.453010981974543,251.4445536303891,16.019506334597935,557.6708501289615
2025-07-07 00:00:00+02:00,43.765416666666674,3582.6793291666672,19.80553569810049,518.2311243526693,16.995259866531757,466.62299312324103,14.9010832592479,287.5676501348812
2025-07-08 00:00:00+02:00,51.90625,11431.662095833335,10.316905907011984,231.13980575022435,11.691727417914983,270.2628773495634,10.69194129965654,200.40337077284957
2025-07-09 00:00:00+02:00,18.191666666666663,876.0437499999998,12.122438912667375,194.60327027047458,11.776390018491155,259.33758806998435,10.970006362419333,218.70379959778325
2025-07-10 00:00:00+02:00,9.811666666666667,149.83568333333338,13.051910600752265,257.13316385938657,15.460634938396877,359.5611393772512,6.7020684225841665,67.64839733598909
2025-07-11 00:00:00+02:00,20.453750000000003,798.7717708333333,9.894057217136131,185.54003045741123,13.236239973348988,277.68615975770587,6.4763455226908455,106.40232164943428
2025-07-12 00:00:00+02:00,18.497083333333332,877.7706625000001,18.953371382925557,510.01023698317346,17.210245582000365,379.4511382193917,11.413996213907557,158.8249247008701
2025-07-13 00:00:00+02:00,17.36125,524.0594291666666,7.622517359748806,98.56347582451276,10.046468370158323,185.2895556837398,6.559933017769782,71.7257185459678
2025-07-14 00:00:00+02:00,16.454166666666666,429.0718999999999,19.033398749167677,472.31930904494874,16.79637001225135,417.838967138151,15.081090621120927,413.8450722226423
2025-07-15 00:00:00+02:00,6.933750000000001,74.81265416666669,10.63166523690846,176.65030118280507,9.600879315157748,261.83587440288096,12.63578233593019,283.3321613716979
2025-07-16 00:00:00+02:00,8.71625,146.62347083333336,9.797931389471415,139.17572650029348,12.585961497147942,234.2424338884174,5.1715658775438,35.69740768303916
2025-07-17 00:00:00+02:00,6.134583333333333,70.34449583333334,10.720073532942754,174.21737302199972,11.516200063292294,214.05870535359088,10.024029355943975,175.83899752190953
2025-07-18 00:00:00+02:00,13.085833333333333,296.4749583333334,13.94677589868862,245.8190626761693,18.46669243807722,429.5035193854169,9.960758792821716,165.2735068840628
2025-07-19 00:00:00+02:00,5.999166666666667,66.84039166666668,8.311852245059281,100.93635766061693,8.508102030710326,104.2666344413873,10.280371133967916,187.14474186530344
2025-07-20 00:00:00+02:00,10.641666666666666,301.1296833333333,12.62786910345813,294.95712699039,12.64193236499414,249.2493512141319,10.009839640276498,218.44710099045744
2025-07-21 00:00:00+02:00,16.8175,330.49027499999994,14.107119954042034,311.60149396612684,14.591849341302384,284.1390595989688,7.886439698728036,95.55318547826339
2025-07-22 00:00:00+02:00,13.140416666666667,319.55862083333335,11.57431230309962,197.00163030791612,9.733918506067743,160.35624290518106,6.294154865425437,60.69889261559113
